timestamp,pyros,servos,servos_deg,accelerometer,barofilteredalt,temp,gyro,gps_fix,lat,lon,gpsalt,gps_horiz_prec,gps_vert_prec,gps_num_sat,flight_time,yaw_gyro_int,pitch_gyro_int,roll_gyro_int,state,pktnum,rssi,armed_pyros,fired_pyros,badpackets,rxrssi,accel_integrated_velo,baro_max_alt,gps_max_alt,pyro_resistances,cell_voltages,total_current,converter_voltages,converter_currents,bms_protections_enabled,bms_protection_status,bms_temp,enabled_status,angleFromVertical,gnd_lat,gnd_lon,gnd_fix,gnd_alt
"0.66","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","660","0.0","0.0","0.0","state.PRE_FLIGHT","11","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.72","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","720","0.0","0.0","0.0","state.PRE_FLIGHT","12","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.78","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","780","0.0","0.0","0.0","state.PRE_FLIGHT","13","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.84","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","840","0.0","0.0","0.0","state.PRE_FLIGHT","14","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.9","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","900","0.0","0.0","0.0","state.PRE_FLIGHT","15","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.96","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","960","0.0","0.0","0.0","state.PRE_FLIGHT","16","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"1.02","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.914676378906249, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","1020","0.0","0.0","0.0","state.PRE_FLIGHT","17","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"1.08","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[40.41948703515625, 0.0, 0.0]","0.0022277832","-17.94782762527466","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","1080","0.0","0.0","0.0","state.FLIGHT","18","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","1.113005","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"1.14","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[62.9081274609375, 7.6614453125E-4, 0.0]","0.028778076","-17.948749833106994","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.048","0.0","0.0","0","1140","0.0","0.0","0.0","state.FLIGHT","19","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","4.1108055","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"1.2","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[62.9724836015625, 7.6614453125E-4, 0.0]","0.1307373","-17.95096996307373","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.496","0.0","0.0","0","1200","0.0","0.0","0.0","state.FLIGHT","20","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","7.5257926","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"1.26","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.02764600781249, 0.0, 0.0]","0.36816406","-17.954488015174867","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.496","0.0","0.0","0","1260","5.884306E-9","-8.396593E-11","0.0","state.FLIGHT","21","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","10.944581","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"1.32","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.07438082421874, 0.0, 0.0]","0.78808594","-17.95933814525604","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","1.517","0.0","0.0","0","1320","2.147182E-6","1.6534635E-7","0.0","state.FLIGHT","22","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","14.366611","0","1","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","2.091309789151873E-6","","","",""
"1.38","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.11192190625, 0.0, 0.0]","1.4041748","-17.965588665008546","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","1.517","0.0","0.0","0","1380","-2.4169253E-6","-3.4290366E-7","0.0","state.FLIGHT","23","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","17.791195","1","1","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","2.4148365394514667E-6","","","",""
"1.44","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.139503109375, 0.0, 0.0]","2.2235107","-17.97320541858673","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","3.056","0.0","0.0","0","1440","-3.728034E-5","5.16121E-7","0.0","state.FLIGHT","24","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","21.21778","2","3","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","3.728362160838717E-5","","","",""
"1.5","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.15712443359375, 0.0, 0.0]","3.2468567","-17.98222256183624","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","5.199","0.0","0.0","0","1500","-1.3022106E-4","1.5120611E-6","0.0","state.FLIGHT","25","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","24.645744","3","5","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","1.3023056959871352E-4","","","",""
"1.56","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.16478587890625, 0.0, 0.0]","4.4819946","-17.992571783065795","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","5.199","0.0","0.0","0","1560","-3.216511E-4","4.4063395E-6","0.0","state.FLIGHT","26","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","28.07447","4","5","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","3.216812446592151E-4","","","",""
"1.62","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.16248744531249, 0.0, 0.0]","5.923218","-18.004287238121034","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","7.913","0.0","0.0","0","1620","-6.645178E-4","7.5767507E-6","0.0","state.FLIGHT","27","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","31.503334","5","7","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","6.645611948785437E-4","","","",""
"1.68","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.150995277343746, 7.6614453125E-4, 0.0]","7.570648","-18.017368927001954","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","7.913","0.0","0.0","0","1680","-0.0012282028","9.197249E-6","0.0","state.FLIGHT","28","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","34.931705","7","7","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0012282372957012973","","","",""
"1.74","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.12954323046875, 7.6614453125E-4, 0.0]","9.424408","-18.0318510055542","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","11.199","0.0","0.0","0","1740","-0.0021006437","1.0263351E-5","-1.422649E-13","state.FLIGHT","29","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","38.358963","9","11","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0021006688943986103","","","",""
"1.8","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.09736516015625, 7.6614453125E-4, 0.0]","11.48465","-18.04766516208649","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","15.057","0.0","0.0","0","1800","-0.0033852824","1.1682461E-5","-6.862271E-13","state.FLIGHT","30","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","41.784466","11","15","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.003385302513589923","","","",""
"1.86","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.05599335546874, 0.0, 0.0]","13.751373","-18.064845552444456","[0.24414062496, -0.24414062496, 0.39672851556]","3","28.61","-80.6","15.057","0.0","0.0","0","1860","-0.005091258","1.1014315E-5","-2.7903643E-12","state.FLIGHT","31","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","45.20759","13","15","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.00509126973783334","","","",""
"1.92","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[63.004661671875, -7.6614453125E-4, 0.0]","16.224487","-18.083392176628113","[0.24414062496, -0.24414062496, 0.39672851556]","3","28.61","-80.6","19.485","0.0","0.0","0","1920","-0.00694611","5.841213E-6","-1.0190375E-11","state.FLIGHT","32","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","48.6277","16","19","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.006946112607618302","","","",""
"1.98","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[62.94337010937499, -7.6614453125E-4, 0.0]","18.904297","-18.10330503463745","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","19.485","0.0","0.0","0","1980","-0.008546784","4.3484106E-6","-1.0947254E-11","state.FLIGHT","33","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","52.044167","18","19","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.008546784707355816","","","",""
